Valuation Date,Curve Name,Date,Value,Label
,,,,,
2014-01-22,USD-Disc,2014-01-23,0.001571524,0D
2014-01-22,USD-Disc,2014-02-24,0.000934099,1M
2014-01-22,USD-Disc,2014-03-24,0.000948444,2M
2014-01-22,USD-Disc,2014-04-24,0.000935866,3M
2014-01-22,USD-Disc,2014-07-24,0.001027672,6M
2014-01-22,USD-Disc,2014-10-24,0.001280398,9M
2014-01-22,USD-Disc,2015-01-26,0.001841773,1Y
2014-01-22,USD-Disc,2016-01-25,0.005475661,2Y
2014-01-22,USD-Disc,2017-01-24,0.009655095,3Y
2014-01-22,USD-Disc,2018-01-24,0.013191876,4Y
2014-01-22,USD-Disc,2019-01-24,0.015783922,5Y
2014-01-22,USD-Disc,2020-01-24,0.017845475,6Y
2014-01-22,USD-Disc,2021-01-25,0.019539006,7Y
2014-01-22,USD-Disc,2022-01-24,0.02095814,8Y
2014-01-22,USD-Disc,2023-01-24,0.02217629,9Y
2014-01-22,USD-Disc,2024-01-24,0.023239034,10Y
2014-01-22,USD-Disc,2026-01-26,0.02501226,12Y
2014-01-22,USD-Disc,2029-01-24,0.026896017,15Y
2014-01-22,USD-Disc,2034-01-24,0.028543824,20Y
2014-01-22,USD-Disc,2039-01-24,0.029327868,25Y
2014-01-22,USD-Disc,2044-01-25,0.029693673,30Y
,,,,,
2014-01-22,USD-3ML,2014-04-24,0.002413351,3M
2014-01-22,USD-3ML,2014-07-24,0.002523692,6M
2014-01-22,USD-3ML,2014-10-24,0.002696588,9M
2014-01-22,USD-3ML,2015-01-26,0.003298585,1Y
2014-01-22,USD-3ML,2016-01-25,0.007112496,2Y
2014-01-22,USD-3ML,2017-01-24,0.011435289,3Y
2014-01-22,USD-3ML,2018-01-24,0.015109223,4Y
2014-01-22,USD-3ML,2019-01-24,0.017822649,5Y
2014-01-22,USD-3ML,2021-01-25,0.021709401,7Y
2014-01-22,USD-3ML,2024-01-24,0.025521059,10Y
2014-01-22,USD-3ML,2026-01-26,0.027335798,12Y
2014-01-22,USD-3ML,2029-01-24,0.029219998,15Y
2014-01-22,USD-3ML,2034-01-24,0.030936921,20Y
2014-01-22,USD-3ML,2039-01-24,0.031693336,25Y
2014-01-22,USD-3ML,2044-01-25,0.032010599,30Y
,,,,,
2014-01-22,USD-6ML,2014-07-24,0.003342049,6M
2014-01-22,USD-6ML,2014-10-24,0.003814115,9M
2014-01-22,USD-6ML,2015-01-26,0.004217781,1Y
2014-01-22,USD-6ML,2016-01-25,0.008029061,2Y
2014-01-22,USD-6ML,2017-01-24,0.01235849,3Y
2014-01-22,USD-6ML,2018-01-24,0.016019274,4Y
2014-01-22,USD-6ML,2019-01-24,0.018731166,5Y
2014-01-22,USD-6ML,2021-01-25,0.022623657,7Y
2014-01-22,USD-6ML,2024-01-24,0.026432995,10Y
2014-01-22,USD-6ML,2026-01-26,0.028264092,12Y
2014-01-22,USD-6ML,2029-01-24,0.030176612,15Y
2014-01-22,USD-6ML,2034-01-24,0.031856567,20Y
2014-01-22,USD-6ML,2039-01-24,0.032613569,25Y
2014-01-22,USD-6ML,2044-01-25,0.032950241,30Y
,,,,,
2014-01-22,GBP-Disc,2014-02-24,0.003619914,1M
2014-01-22,GBP-Disc,2014-03-24,0.00388712,2M
2014-01-22,GBP-Disc,2014-04-24,0.003951528,3M
2014-01-22,GBP-Disc,2014-07-24,0.004603065,6M
2014-01-22,GBP-Disc,2014-10-24,0.005434232,9M
2014-01-22,GBP-Disc,2015-01-26,0.006434251,1Y
2014-01-22,GBP-Disc,2016-01-25,0.009851532,2Y
2014-01-22,GBP-Disc,2017-01-24,0.012585948,3Y
2014-01-22,GBP-Disc,2018-01-24,0.01445751,4Y
2014-01-22,GBP-Disc,2019-01-24,0.015792938,5Y
2014-01-22,GBP-Disc,2020-01-24,0.016943957,6Y
2014-01-22,GBP-Disc,2021-01-25,0.017977007,7Y
2014-01-22,GBP-Disc,2022-01-24,0.018778199,8Y
2014-01-22,GBP-Disc,2023-01-24,0.019473144,9Y
2014-01-22,GBP-Disc,2024-01-24,0.020153626,10Y
2014-01-22,GBP-Disc,2026-01-26,0.021307446,12Y
2014-01-22,GBP-Disc,2029-01-24,0.022582553,15Y
2014-01-22,GBP-Disc,2034-01-24,0.023968824,20Y
2014-01-22,GBP-Disc,2039-01-24,0.024603858,25Y
2014-01-22,GBP-Disc,2044-01-25,0.025077621,30Y
,,,,,
2014-01-22,GBP-3ML,2014-04-22,0.005636082,3M
2014-01-22,GBP-3ML,2014-07-22,0.006213342,6M
2014-01-22,GBP-3ML,2014-10-22,0.006970785,9M
2014-01-22,GBP-3ML,2015-01-22,0.007835542,1Y
2014-01-22,GBP-3ML,2016-01-22,0.01139746,2Y
2014-01-22,GBP-3ML,2017-01-23,0.014381743,3Y
2014-01-22,GBP-3ML,2018-01-22,0.016488241,4Y
2014-01-22,GBP-3ML,2019-01-22,0.01804329,5Y
2014-01-22,GBP-3ML,2020-01-22,0.019337967,6Y
2014-01-22,GBP-3ML,2021-01-22,0.020453166,7Y
2014-01-22,GBP-3ML,2022-01-24,0.021390734,8Y
2014-01-22,GBP-3ML,2023-01-23,0.022179111,9Y
2014-01-22,GBP-3ML,2024-01-22,0.022943567,10Y
2014-01-22,GBP-3ML,2026-01-22,0.024280163,12Y
2014-01-22,GBP-3ML,2029-01-22,0.025771703,15Y
2014-01-22,GBP-3ML,2034-01-23,0.027230902,20Y
2014-01-22,GBP-3ML,2039-01-24,0.027578227,25Y
2014-01-22,GBP-3ML,2044-01-22,0.027644976,30Y
