DeliveryName	InstallName	FileCheckSum	FileFeature	FileOwner
<deliverydir>/build/linux/aesmd.conf	<installdir>/package/aesm/aesmd.conf	0	main	STP
<deliverydir>/build/linux/aesmd.service	<installdir>/package/aesm/aesmd.service	0	main	STP
<deliverydir>/build/linux/aesm_service	<installdir>/package/aesm/aesm_service	0	main	STP
<deliverydir>/build/linux/le_prod_css.bin	<installdir>/package/aesm/le_prod_css.bin	0	main	STP
<deliverydir>/build/linux/libsgx_le.signed.so	<installdir>/package/aesm/libsgx_le.signed.so	0	main	STP
<deliverydir>/build/linux/libsgx_pve.signed.so	<installdir>/package/aesm/libsgx_pve.signed.so	0	main	STP
<deliverydir>/build/linux/libsgx_qe.signed.so	<installdir>/package/aesm/libsgx_qe.signed.so	0	main	STP
<deliverydir>/build/linux/libsgx_pce.signed.so	<installdir>/package/aesm/libsgx_pce.signed.so	0	main	STP
<deliverydir>/linux/installer/common/psw/install.sh	<installdir>/scripts/install.sh	0	main	STP
<deliverydir>/linux/installer/common/psw/Makefile	<installdir>/Makefile	0	main	STP
<deliverydir>/psw/ae/aesm_service/config/network/aesmd.conf	<installdir>/package/aesm/conf/aesmd.conf	0	main	STP
<deliverydir>/psw/ae/aesm_service/data/white_list_cert_to_be_verify.bin	<installdir>/package/aesm/data/white_list_cert_to_be_verify.bin	0	main	STP
